model,variable,w_v_all,w_v_for_A,Av,Nv_used,Tv,flag_A,include_in_A,Pv,Mv_observed,Ov_out_of_range
random_forest,age,0.11058511000613026,0.16587484035759878,0.0,1097,3.2632178669097542,,True,1.0,1097,0
random_forest,albumin_min,0.02431714460867762,0.03647509578544021,0.0,1088,0.15568056705723884,,True,1.0,1088,0
random_forest,aniongap_max,0.0032014167972209528,0.00480204342273316,0.0,1089,0.76,,True,1.0,1089,0
random_forest,bilirubin_max,0.0,0.0,0.07341967548154194,1091,0.598,,True,1.0,1091,0
random_forest,bun_max,0.01045569102922177,0.015683269476373413,0.0,1077,2.96,,True,1.0,1077,0
random_forest,creatinine_max,0.1038757577821673,0.15581098339719007,0.0,1072,0.196,,True,1.0,1072,0
random_forest,hemoglobin_min,0.017505619508208,0.02625798212005125,0.0,1085,0.5478771410901706,,True,1.0,1085,0
random_forest,hr_max,0.0,0.0,0.0,1083,4.968037596652533,,True,1.0,1083,0
random_forest,hr_min,0.0,0.0,0.0,1085,3.9692461387855866,,True,1.0,1085,0
random_forest,lactate_max,0.34306246168517124,0.5145849297573434,0.0,1091,0.39,,True,1.0,1091,0
random_forest,map_max,0.03923438457870729,0.05885057471264384,0.0,1072,4.135253858098026,,True,1.0,1072,0
random_forest,map_min,0.0013963626455963565,0.002094508301404864,0.0,1067,3.3224139967453947,,True,1.0,1067,0
random_forest,platelets_min,0.0,0.0,0.0,1083,19.900000000000002,,True,1.0,1083,0
random_forest,potassium_max,0.0,0.0,0.0,1067,0.20870532192290803,,True,1.0,1067,0
random_forest,pressors_flag,0.2659559975478509,0.0,0.5,1200,,binary_no_reference,False,1.0,1200,0
random_forest,resp_rate_max,0.0,0.0,0.0,1072,1.0936359446271318,,True,1.0,1072,0
random_forest,sodium_min,0.0,0.0,0.5126188379857259,1081,6.851464495632593,,True,1.0,1081,0
random_forest,spo2_min,0.013044070567400102,0.019565772669221035,0.2901671408633183,1077,4.700034322618904,,True,1.0,1077,0
random_forest,temp_max,0.0,0.0,0.7414872826965443,1081,1.8800263726441877,,True,1.0,1081,0
random_forest,vent_flag,0.06736598324364818,0.0,0.5,1200,,binary_no_reference,False,1.0,1200,0
